wall_time_ns,monotonic_time_ns,interface,rx_bytes,rx_packets,rx_errors,rx_dropped,rx_missed_errors,tx_bytes,tx_packets,tx_errors,tx_dropped,collisions
1786699526837020060,4383763175819,enp3s0,92491180835,70892546,0,0,0,89747666,555835,0,0,0
1786699527837964275,4384764119897,enp3s0,92533655487,70925027,0,0,0,89779472,556028,0,0,0
1786699528838881241,4385765036833,enp3s0,92576162813,70957597,0,0,0,89804972,556158,0,0,0
1786699529839813983,4386765969336,enp3s0,92617674201,70989552,0,0,0,89835916,556318,0,0,0
1786699530840796747,4387766952169,enp3s0,92659575643,71021655,0,0,0,89865448,556486,0,0,0
1786699531841574924,4388767730428,enp3s0,92696782033,71050287,0,0,0,89890748,556614,0,0,0
1786699532842360285,4389768515813,enp3s0,92738024197,71081923,0,0,0,89912886,556709,0,0,0
1786699533843156674,4390769312238,enp3s0,92781000469,71114724,0,0,0,89933958,556801,0,0,0
1786699534843869656,4391770025227,enp3s0,92825051177,71148300,0,0,0,89955030,556893,0,0,0
1786699535844761846,4392770917492,enp3s0,92867264583,71180596,0,0,0,89986914,557087,0,0,0
1786699536845663385,4393771818972,enp3s0,92909994771,71213332,0,0,0,90012414,557217,0,0,0
1786699537846602851,4394772758858,enp3s0,92952889329,71246354,0,0,0,90044006,557383,0,0,0
1786699538847523942,4395773679782,enp3s0,92996003743,71279304,0,0,0,90072902,557545,0,0,0
1786699539848499430,4396774654659,enp3s0,93037647187,71311158,0,0,0,90097716,557669,0,0,0
1786699540849472288,4397775627847,enp3s0,93078680323,71342653,0,0,0,90119960,557765,0,0,0
1786699541850255016,4398776410581,enp3s0,93120228523,71374398,0,0,0,90141032,557857,0,0,0
1786699542851209951,4399777365274,enp3s0,93163178999,71407195,0,0,0,90162870,557956,0,0,0
1786699543852049688,4400778205143,enp3s0,93205973127,71439912,0,0,0,90196192,558164,0,0,0
1786699544852758379,4401778913786,enp3s0,93248441873,71472435,0,0,0,90222540,558302,0,0,0
1786699545853438339,4402779593783,enp3s0,93289619877,71504151,0,0,0,90253484,558462,0,0,0
1786699546854285132,4403780440280,enp3s0,93333015735,71537337,0,0,0,90282592,558626,0,0,0
1786699547854995240,4404781150538,enp3s0,93374542257,71569102,0,0,0,90308618,558761,0,0,0
1786699548855833714,4405781989993,enp3s0,93417554495,71602002,0,0,0,90331028,558859,0,0,0
1786699549856605226,4406782760719,enp3s0,93460003715,71634403,0,0,0,90353266,558962,0,0,0
1786699550857429638,4407783584864,enp3s0,93501759339,71666290,0,0,0,90373206,559054,0,0,0
1786699551858167601,4408784322838,enp3s0,93543091985,71697949,0,0,0,90405514,559252,0,0,0
1786699552858864465,4409785019669,enp3s0,93585960997,71730764,0,0,0,90430802,559380,0,0,0
1786699553859562379,4410785717817,enp3s0,93629101331,71763889,0,0,0,90461534,559538,0,0,0
1786699554860404449,4411786559987,enp3s0,93671468779,71796301,0,0,0,90490854,559704,0,0,0
1786699555861195904,4412787351746,enp3s0,93714083153,71828891,0,0,0,90515608,559827,0,0,0
1786699556862065346,4413788220501,enp3s0,93757965973,71862429,0,0,0,90537764,559923,0,0,0
1786699557862868524,4414789024186,enp3s0,93801046935,71895273,0,0,0,90558790,560015,0,0,0
1786699558863694469,4415789850223,enp3s0,93843419151,71927617,0,0,0,90578412,560104,0,0,0
1786699559864531857,4416790686990,enp3s0,93884360297,71959005,0,0,0,90611250,560307,0,0,0
1786699560865232015,4417791387545,enp3s0,93926040497,71990958,0,0,0,90636220,560432,0,0,0
1786699561866041168,4418792196597,enp3s0,93967384285,72022810,0,0,0,90667598,560597,0,0,0
1786699562866750411,4419792907085,enp3s0,94009853573,72055409,0,0,0,90697946,560773,0,0,0
1786699563867562824,4420793718368,enp3s0,94051047457,72086842,0,0,0,90721926,560889,0,0,0
1786699564868537927,4421794693692,enp3s0,94093204411,72119119,0,0,0,90742476,560980,0,0,0
