wall_time_ns,cpu_percent,memory_used_kib,memory_total_kib,gpu_percent,gpu_memory_used_mib,gpu_memory_total_mib,nic_receive_bytes_total,nic_transmit_bytes_total
1786699454512509912,22.295623451692816,25163108,65595064,60,6085,24564,89511535022,125402373
1786699455539621277,20.525451559934318,25165828,65595064,61,6078,24564,89554461148,125427117
1786699456564741194,21.399345335515548,25167200,65595064,61,6074,24564,89596420277,125449521
1786699457591428425,20.032908268202387,25135628,65595064,62,6074,24564,89639639375,125470177
1786699458617595269,20.71924805884757,25174488,65595064,60,6074,24564,89684146120,125493139
1786699459646727295,20.442441622285948,25170748,65595064,60,6074,24564,89726816866,125518235
1786699460673791306,20.180106426524766,25152820,65595064,59,6074,24564,89769550379,125534159
1786699461697658037,20.262510254306807,25141744,65595064,60,6074,24564,89811839788,125545919
1786699462725453332,26.578621543541065,25329788,65595064,61,6086,24564,89854110503,125566565
1786699463747263182,22.01797385620915,25159756,65595064,61,6086,24564,89899607327,125593779
1786699464773684206,20.90834697217676,25169916,65595064,63,6086,24564,89942061523,125621095
1786699465796967463,20.777096114519427,25148400,65595064,58,6085,24564,89984286318,125643661
1786699466825675908,20.450819672131146,25170456,65595064,60,6085,24564,90027283634,125675291
1786699467847582920,20.947325438954675,25174452,65595064,60,6073,24564,90072018706,125702639
1786699468872181393,20.172910662824208,25175088,65595064,59,6073,24564,90113833002,125726779
1786699469895401047,21.857025472473296,25161808,65595064,59,6070,24564,90155744546,125858029
1786699470923100757,21.39917695473251,25145500,65595064,60,6073,24564,90199004928,125872263
1786699471953441725,20.823145884270577,25155316,65595064,59,6073,24564,90242982039,125907942
1786699472978244249,20.603835169318646,25150912,65595064,60,6072,24564,90287175396,125927814
1786699474001428158,20.27194066749073,25174004,65595064,64,6072,24564,90330192467,125961388
1786699475026158720,20.698151950718685,25169684,65595064,60,6071,24564,90373597639,125987336
1786699476049873368,20.419063270336895,25173828,65595064,60,6071,24564,90416759771,126012574
1786699477075708201,20.279146141215108,25172224,65595064,61,6072,24564,90460484583,126035984
1786699478100109423,22.40032881216605,25154232,65595064,59,6073,24564,90503931815,126063442
1786699479126331924,21.043978627209206,25171628,65595064,63,6073,24564,90546481736,126095040
1786699480149110286,20.44334975369458,25146876,65595064,59,6073,24564,90588757809,126159340
1786699481173558372,20.22194821208385,25161256,65595064,63,6070,24564,90631312307,126259544
1786699482197131082,21.28874388254486,25157048,65595064,59,6071,24564,90673631062,126299490
1786699483221287974,20.47599507591301,25158060,65595064,61,6071,24564,90716742760,126335362
1786699484247428719,20.970394736842106,25145348,65595064,60,6073,24564,90760745689,126362616
1786699485271524685,24.222585924713584,25264740,65595064,66,6073,24564,90803096871,126393890
1786699486295972377,37.68947152806227,25272024,65595064,61,6075,24564,90847973437,127089106
1786699487322116222,21.977124183006534,25251144,65595064,57,6075,24564,90891424837,127129338
1786699488448535024,21.484214842148422,25248200,65595064,29,6080,24564,90939207399,127166648
1786699489474177994,20.861423220973784,25253828,65595064,60,6072,24564,90981030253,127193132
1786699490498274471,21.147540983606557,25239540,65595064,61,6075,24564,91023762865,127230622
1786699491523959943,20.91395636064224,25249200,65595064,58,6075,24564,91065892595,127266294
1786699492547907338,21.568627450980394,25273912,65595064,60,6072,24564,91110692507,127395744
1786699493573570454,22.20853858784893,25149280,65595064,62,6074,24564,91154021644,127431340
1786699494596457908,22.706705059646236,25168632,65595064,59,6073,24564,91198470780,127454772
1786699495620982751,21.249486230990545,25183920,65595064,60,6075,24564,91241153448,127485270
1786699496647487658,20.8026208026208,25167324,65595064,61,6075,24564,91284702914,127513420
1786699497671830706,20.449897750511248,25160912,65595064,60,6075,24564,91329720930,127542366
1786699498695427924,20.491803278688526,25159904,65595064,62,6075,24564,91372517538,127572562
1786699499722475025,20.669934640522875,25165460,65595064,59,6071,24564,91414733088,127601940
1786699500746795684,20.50653594771242,25166508,65595064,63,6073,24564,91458378915,127624290
1786699501770381284,20.674064940402793,25161604,65595064,59,6071,24564,91501076486,127646438
1786699502794633500,22.12171052631579,25164864,65595064,62,6072,24564,91544624352,127668642
1786699503820275560,20.50861361771944,25169084,65595064,61,6073,24564,91588197236,127701438
1786699504845451529,20.613496932515336,25169492,65595064,60,6079,24564,91630647922,127727892
1786699505869927838,20.930232558139537,25173476,65595064,62,6073,24564,91673000930,127758306
1786699506893417378,20.678381691867592,25189968,65595064,62,6070,24564,91716049343,127790364
1786699507921548004,20.541205412054122,25183504,65595064,61,6073,24564,91759737781,127819695
1786699508944357080,20.408997955010225,25164660,65595064,60,6073,24564,91803450321,127844685
1786699509971253925,21.449156031288595,25193292,65595064,61,6072,24564,91845915893,127866181
1786699510997874942,21.676891615541923,25180704,65595064,62,6072,24564,91888315549,127890399
1786699512023526591,19.893136046033703,25158504,65595064,61,6073,24564,91930614999,127922939
1786699513049035052,20.410677618069816,25174612,65595064,62,6071,24564,91975184133,127953289
1786699514073317054,20.71078431372549,25166528,65595064,62,6072,24564,92017640103,127984147
1786699515097073102,22.922636103151863,25198264,65595064,59,6072,24564,92060153301,128030023
1786699516123651270,23.78223495702006,25210124,65595064,60,6080,24564,92103641916,128100061
1786699517147002648,22.65464973371569,25180772,65595064,58,6079,24564,92145805775,128150400
1786699518174444113,22.093981863149217,25170260,65595064,60,6077,24564,92190398104,128183179
1786699519197527848,21.104294478527606,25157636,65595064,62,6077,24564,92233284841,128212615
1786699520222559595,24.083985179086042,25241056,65595064,64,6073,24564,92275878935,128250553
1786699521249242517,21.499176276771006,25217212,65595064,61,6090,24564,92318808821,128314542
1786699522274528343,23.06122448979592,25204924,65595064,61,6085,24564,92363282666,128379295
1786699523297854758,21.27921279212792,25224764,65595064,60,6085,24564,92405671004,128413491
1786699524325677791,20.254724732949878,25229820,65595064,58,6085,24564,92449866641,128440645
1786699525351140681,21.908271908271907,25247376,65595064,63,6083,24564,92492610456,128466147
1786699526377307702,25.72835453426344,25285772,65595064,60,6095,24564,92534924913,128498111
1786699527402275301,22.523633374434855,25261472,65595064,63,6098,24564,92578161678,128533895
1786699528430008479,21.225832990538873,25237872,65595064,61,6084,24564,92622259984,128565153
1786699529456320298,20.72920934043425,25227288,65595064,63,6084,24564,92665404991,128602449
1786699530482751093,20.572597137014316,25211484,65595064,61,6084,24564,92707901504,128642963
1786699531506886680,22.81134401972873,25256140,65595064,58,6083,24564,92745404418,128685527
1786699532536421245,22.039473684210527,25243088,65595064,62,6078,24564,92788326577,128715149
1786699533559939082,22.054626987362415,25238332,65595064,58,6076,24564,92832321424,128737285
1786699534589014708,24.252355591970503,25230268,65595064,64,6076,24564,92877215037,128761179
1786699535614369262,21.32895816242822,25247332,65595064,60,6076,24564,92920030998,128790935
1786699536642344238,22.135523613963038,25258296,65595064,62,6082,24564,92964641755,128819183
1786699537668214668,21.69811320754717,25220720,65595064,62,6076,24564,93008628162,128850411
1786699538691710187,21.42269736842105,25231176,65595064,58,6074,24564,93052688297,128885191
1786699539716380034,22.044989775051125,25242220,65595064,62,6076,24564,93095558679,128917549
1786699540746028152,29.631147540983605,25285648,65595064,65,6076,24564,93137745326,128957854
1786699541772712119,21.30879345603272,25226824,65595064,61,6076,24564,93180691677,128983344
1786699542796926994,22.637633525061627,25221292,65595064,56,6076,24564,93224555519,129010454
1786699543822757477,33.00533005330053,25281916,65595064,64,6091,24564,93267890570,129049824
1786699544845222530,23.127572016460906,25239224,65595064,63,6089,24564,93311650582,129102129
1786699545871698481,28.031237155774765,25243472,65595064,65,6090,24564,93354066063,129150672
1786699546895773947,20.739219712525667,25229752,65595064,61,6089,24564,93398421613,129186232
1786699547921088098,21.630479311757476,25230564,65595064,64,6090,24564,93440991728,129227767
1786699548946092488,20.96247960848287,25223684,65595064,63,6083,24564,93484984159,129257971
1786699549972826999,23.0327868852459,25249920,65595064,64,6084,24564,93528652682,129286530
1786699550997936445,31.671434409480998,25260408,65595064,58,6085,24564,93571291482,129332408
1786699552023472596,20.691073632250102,25227164,65595064,59,6085,24564,93613817800,129598294
1786699553046714360,20.886335658596636,25261240,65595064,60,6083,24564,93657998663,129824729
