pc4_record_ns,pc4_record_kst,pc4_db_index,pc4_header_ns,pc4_frame,pc4_uuid_hex,pc4_label_id,pc4_label,pc4_label_probability,pc4_x,pc4_y,pc4_z,pc4_existence_probability,tracker_record_ns,tracker_record_delta_ms,tracker_object_count,tracker_exact_uuid_match,tracker_nearest_xy_distance_m,tracker_nearest_uuid_hex,tracker_nearest_label_id,tracker_nearest_label,tracker_nearest_x,tracker_nearest_y,tracker_nearest_z,canonical_record_ns,canonical_record_delta_ms,canonical_object_count,canonical_exact_uuid_match,canonical_nearest_xy_distance_m,canonical_nearest_uuid_hex,canonical_nearest_label_id,canonical_nearest_label,canonical_nearest_x,canonical_nearest_y,canonical_nearest_z,ego_record_ns,ego_record_delta_ms,ego_x,ego_y,ego_z,ego_pc4_xy_distance_m,velocity_record_ns,velocity_record_delta_ms,vehicle_longitudinal_velocity_mps,control_record_ns,control_record_delta_ms,control_target_velocity_mps,control_target_acceleration_mps2
1786699466431288075,2026-08-14T18:24:26.431288+09:00,8,1786699466369817970,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.65302830435029,-124.95612974133311,-15.508406453961129,0.0,1786699466419473571,-11.814504,11,False,5.943707325600914,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25339113804261,-120.08066833651598,-13.763306489578532,1786699466419780118,-11.507957,11,False,5.943707325600914,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25339113804261,-120.08066833651598,-13.763306489578532,1786699466431819651,0.531576,59.26616045013804,-124.92716341497216,-14.86018443771967,6.613195583506817,1786699466439403537,8.115462,0.4253472089767456,1786699466429123745,-2.16433,0.0,-1.5
1786699466502533461,2026-08-14T18:24:26.502533+09:00,8,1786699466469817972,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.64369986752313,-125.0216985220308,-15.523896966556643,0.0,1786699466499570790,-2.962671,11,False,5.971211467492275,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.28258737249961,-120.08628676764718,-13.764893375275935,1786699466499647582,-2.885879,11,False,5.971211467492275,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.28258737249961,-120.08628676764718,-13.764893375275935,1786699466502651666,0.118205,59.217847967711755,-124.92622194317002,-14.859422386885292,6.574841368453283,1786699466499714605,-2.818856,0.4427083432674408,1786699466518082973,15.549512,0.0,-1.5
1786699466633919569,2026-08-14T18:24:26.633919+09:00,8,1786699466569817973,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.629849076398294,-125.01091444082708,-15.51850028886082,0.0,1786699466623394937,-10.524632,11,False,5.960812347606858,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.28260548436545,-120.07864881750777,-13.764893375275935,1786699466632395565,-1.524004,11,False,5.960812347606858,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.28260548436545,-120.07864881750777,-13.764893375275935,1786699466633893734,-0.025835,59.17488323988098,-124.92542810353959,-14.85608419788078,6.545592418950197,1786699466639361642,5.442073,0.46875,1786699466640203479,6.28391,0.0,-1.5
1786699466724572800,2026-08-14T18:24:26.724573+09:00,8,1786699466669817975,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.624987633751836,-125.0027897768798,-15.534531751818033,0.0,1786699466722675708,-1.897092,12,False,5.9472549624363635,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.289534209190585,-120.07891000166121,-13.760926849675915,1786699466723137281,-1.435519,12,False,5.9472549624363635,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.289534209190585,-120.07891000166121,-13.760926849675915,1786699466733153181,8.580381,59.12745002137413,-124.92455149108878,-14.853453531719794,6.5029330560760155,1786699466719406615,-5.166185,0.4861111044883728,1786699466730007154,5.434354,0.0,-1.5
1786699466825918990,2026-08-14T18:24:26.825919+09:00,8,1786699466769817976,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.63120469191584,-125.02745794844344,-15.530453310881178,0.0,1786699466805279706,-20.639284,11,False,5.972434132952026,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.289953243150705,-120.07710359460418,-13.756758493200039,1786699466813172195,-12.746795,11,False,5.972434132952026,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.289953243150705,-120.07710359460418,-13.756758493200039,1786699466826157475,0.238485,59.07774619743425,-124.92362078151274,-14.852354627778874,6.447377725836123,1786699466819646043,-6.272947,0.5121527910232544,1786699466818647463,-7.271527,0.0,-1.5
1786699466909806788,2026-08-14T18:24:26.909807+09:00,8,1786699466869817978,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.62965205978572,-125.02584783107915,-15.524180225967214,0.0,1786699466901852394,-7.954394,11,False,5.975879793175271,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.289967869634154,-120.07028037492115,-13.756758493200039,1786699466902518725,-7.288063,11,False,5.975879793175271,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.289967869634154,-120.07028037492115,-13.756758493200039,1786699466909777461,-0.029327,59.026002422994196,-124.92263347027608,-14.851142132434461,6.397183065474459,1786699466919353947,9.547159,0.5295138955116272,1786699466908466349,-1.340439,0.0,-1.5
1786699467031877351,2026-08-14T18:24:27.031877+09:00,8,1786699466969817979,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.63731610949655,-124.99218943740897,-15.518509123529626,0.0,1786699467014381623,-17.495728,11,False,5.954991798950738,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.28549074018845,-120.07007667770576,-13.754354596745227,1786699467014424318,-17.453033,11,False,5.954991798950738,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.28549074018845,-120.07007667770576,-13.754354596745227,1786699467025218065,-6.659286,58.9720354093518,-124.92166278824429,-14.850461484452081,6.335111886636329,1786699467039670178,7.792827,0.546875,1786699467029671216,-2.206135,0.0,-1.5
1786699467133125375,2026-08-14T18:24:27.133125+09:00,8,1786699467069817981,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.65745471482439,-124.96596788644457,-15.50101521994127,0.0,1786699467153603143,20.477768,10,False,5.941283385562492,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.278347940001744,-120.07920150447903,-13.75769431331666,1786699467153637755,20.51238,10,False,5.941283385562492,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.278347940001744,-120.07920150447903,-13.75769431331666,1786699467131847865,-1.27751,58.91278523503099,-124.92055797610209,-14.847508404810759,6.255495342255917,1786699467142112521,8.987146,0.5555555820465088,1786699467118627424,-14.497951,0.0,-1.5
1786699467213447821,2026-08-14T18:24:27.213448+09:00,8,1786699467169817982,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.65807082471004,-124.97943006683634,-15.49778933492358,0.0,1786699467153603143,-59.844678,10,False,5.952710873271385,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.278347940001744,-120.07920150447903,-13.75769431331666,1786699467153637755,-59.810066,10,False,5.952710873271385,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.278347940001744,-120.07920150447903,-13.75769431331666,1786699467216321695,2.873874,58.85455505068609,-124.91946387559155,-14.841939265579356,6.196774379212335,1786699467219389169,5.941348,0.5555555820465088,1786699467209416280,-4.031541,0.0,-1.5
1786699467334531514,2026-08-14T18:24:27.334532+09:00,8,1786699467269817984,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.66718064071426,-124.97725551085898,-15.48252556597241,0.0,1786699467373224430,38.692916,11,False,5.942567200627701,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.27331947058939,-120.09916046341527,-13.750807186546917,1786699467373262456,38.730942,11,False,5.942567200627701,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.27331947058939,-120.09916046341527,-13.750807186546917,1786699467334133068,-0.398446,58.79783677492955,-124.91843545080832,-14.837161789984021,6.130938299759341,1786699467339449437,4.917923,0.546875,1786699467329692019,-4.839495,0.0,-1.5
1786699467434072237,2026-08-14T18:24:27.434072+09:00,8,1786699467369817985,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.64868702399084,-124.98956185532208,-15.502016834712023,0.0,1786699467472002989,37.930752,11,False,5.945847104289644,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26391879681603,-120.10116315678107,-13.748272649814567,1786699467473020321,38.948084,11,False,5.945847104289644,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26391879681603,-120.10116315678107,-13.748272649814567,1786699467425911287,-8.16095,58.7405054232478,-124.91741933509114,-14.835581164424571,6.092245559130958,1786699467439634619,5.562382,0.5381944179534912,1786699467418443512,-15.628725,0.0,-1.5
